SL,Date,Chainage,UTM_X,UTM_Y,BTM_X,BTM_Y,Distance,RL_mPWD,Remarks
9224,05/03/2018,7280,297348.93,2706533.05,601703.146,705139.677,64.928873,-0.08,CL
9286,05/03/2018,7330,297393.97,2706545.67,601747.836,705153.644,58.07594,-0.45,CL
9337,05/03/2018,7380,297445.3,2706550.44,601798.718,705158.747,54.506913,-1.43,CL
9401,05/03/2018,7430,297497.78,2706552.99,601851.62,705162.894,70.035712,-2.45,CL
9464,05/03/2018,7480,297535.88,2706544.54,601889.769,705155.723,69.444931,-2.62,CL
9522,05/03/2018,7530,297585.95,2706519.97,601940.28,705131.822,69.839984,-2.12,CL
9594,05/03/2018,7580,297619.58,2706495.56,601974.779,705108.574,55.745852,-1.15,CL
9658,05/03/2018,7630,297660.63,2706468.76,602016.339,705082.479,59.885345,-1.27,CL
9703,05/03/2018,7680,297698.5,2706437.72,602054.987,705052.322,60.419934,-1.71,CL
9756,05/03/2018,7730,297738.18,2706402.36,602094.743,705017.19,51.001196,-2.18,CL
9795,05/03/2018,7780,297769.29,2706363.59,602126.548,704979.885,60.041254,-2.57,CL
9845,05/03/2018,7830,297804.9,2706328.58,602163.284,704945.687,62.406621,-2.67,CL
9896,05/03/2018,7880,297838.83,2706300.28,602197.891,704917.442,64.820568,-1.68,CL
9955,05/03/2018,7930,297885.45,2706271.68,602244.47,704890.456,70.457114,-0.57,CL
9988,05/03/2018,7980,297923.35,2706235.7,602283.227,704855.302,60.967614,-0.66,CL
10047,05/03/2018,8030,297973.3,2706231.95,602333.282,704852.388,74.347067,-0.79,CL
10090,05/03/2018,8080,298020.59,2706218.23,602381.556,704839.437,74.865355,-0.86,CL
10147,05/03/2018,8130,298071.11,2706212.44,602431.655,704834.525,78.85161,-0.73,CL
10193,05/03/2018,8180,298118.15,2706202.76,602478.821,704826.549,80.094889,-0.72,CL
10242,05/03/2018,8230,298168.59,2706187.73,602530.115,704812.663,72.230965,-0.99,CL
10296,05/03/2018,8280,298216.94,2706184.98,602578.15,704810.705,75.075559,-1.12,CL
10335,05/03/2018,8330,298268.08,2706174.93,602629.335,704801.817,49.957495,-1.33,CL
10383,05/03/2018,8380,298317.94,2706173.33,602679.348,704800.902,73.246464,-0.98,CL
10428,05/03/2018,8430,298365.93,2706164.09,602727.514,704792.948,60.610997,-1.41,CL
10476,05/03/2018,8480,298418.94,2706156.03,602780.654,704786.101,61.16157,-1.6,CL
10526,05/03/2018,8530,298462.28,2706140.72,602823.953,704772.042,59.7051,-0.9,CL
10573,05/03/2018,8580,298511.35,2706124.64,602873.27,704757.114,60.479211,-0.79,CL
