Sl. No.,"Name of 
Haor",Name of WMG & #,Name of XO,Demo#,N,D,M,S,Lat,E,D,M,S,Lon,Demo Area (Dec.),Date of Seedling,Transplanting,Harvesting,Seedling Age,Growth Duration (days),Total Cost(tk),Cultivation cost (tk/Ha),Production (kg/plot),Selling Price(tk),Yield (Kg/Ha),Total Sell Value(tk),Comparative Production(kg),Comparative Yield (Kg/Ha),Rice sold (tk/Ha),Net benefit (tk/Ha)
525,Chatal,Raji Kanla#212,Nazmul,24.5,"24ø32'35.5""",24,32,35.5,24.54319444,"91ø25'7.4""",91,25,7.4,91.43172222,35,43429,43466,43571,37,142,8110,57256.6,980,14.5,6918.8,14210,700,4942,100322.6,43066
526,Chatal,Raji Kanla#212,Nazmul,24.6,"24ø32'30.4""",24,32,30.4,24.54177778,"91ø24'54.2""",91,24,54.2,91.40222222,35,43435,43501,43577,66,142,8135,57433.1,980,13.5,6918.8,13230,700,4942,93403.8,35970.7
527,Chatal,Raji Kanla#212,Nazmul,24.7,"24ø32'34.7""",24,32,34.7,24.54297222,"91ø25'8.0""",91,25,8,91.43119444,35,43438,43472,43577,34,139,8175,57715.5,840,14.25,5930.4,11970,630,4447.8,84508.2,26792.7
528,Chatal,Raji Kanla#212,Nazmul,24.8,"24ø32'43.8""",24,32,43.8,24.5455,"91ø24'52.3""",91,24,52.3,91.41452778,35,43435,43470,43577,35,142,8060,56903.6,910,14.37,6424.6,13076.7,630,4447.8,92321.502,35417.902
529,Chatal,Raji Kanla#212,Nazmul,24.9,"24ø32'43.8""",24,32,43.8,24.5455,"91ø24'52.3""",91,24,52.3,91.41147222,35,43441,43478,43586,37,145,8260,58315.6,980,14.37,6918.8,12740,630,4447.8,99423.156,41107.556
530,Chatal,Raji Kanla#212,Nazmul,24.1,"24ø32'32.2""",24,32,32.2,24.54227778,"91ø32'41.3""",91,32,41.3,91.541,35,43427,43464,43570,37,143,8235,58139.1,840,14.37,5930.4,11130,700,4942,85219.848,27080.748
531,Chatal,Raji Kanla#212,Nazmul,24.11,"24ø32'37.2""",24,32,37.2,24.54366667,"91ø32'27.6""",91,32,27.6,91.53658333,35,43427,43461,43573,34,146,8225,58068.5,980,13.75,6918.8,13475,630,4447.8,95133.5,37065
532,Chatal,Raji Kanla#212,Nazmul,24.12,"24ø31'7.2""",24,31,7.2,24.51866667,"91ø26'11.7""",91,26,11.7,91.44838889,35,43428,43465,43570,37,142,8115,57291.9,980,13.75,6918.8,13475,700,4942,95133.5,37841.6
533,Chatal,Raji Kanla#212,Nazmul,24.13,"24ø31'45.5""",24,31,45.5,24.52930556,"91ø24'54.2""",91,24,54.2,91.41505556,35,43428,43458,43571,30,143,7920,55915.2,910,13.75,6424.6,12512.5,700,4942,88338.25,32423.05
534,Chatal,Raji Kanla#212,Nazmul,24.14,"24ø32'30.4""",24,32,30.4,24.54177778,"91ø24'54.2""",91,24,54.2,91.41394444,35,43449,43470,43578,21,129,8380,59162.8,840,14.25,5930.4,11970,700,4942,84508.2,25345.4
