sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
151,WMG Training 152-153,LIVEHOOD-151,15-06-17," 25,109.00 "," 197,040.00 ",LT
152,Farmers Training 154-155,LIVEHOOD-152,18-06-17," 25,500.00 "," 198,920.00 ",APSS
153,Farmers Training 156-157,LIVEHOOD-153,20-06-17," 25,500.00 "," 198,920.00 ",APSS
154,WMG training 158-159,LIVEHOOD-154,20-06-17," 25,109.00 "," 197,040.00 ",LT
155,Bags LT,LIVEHOOD-154,20-06-17," 133,103.00 "," 1,530,625.00 ",LT
156,Bags APSS,LIVEHOOD-154,20-06-17," 81,786.00 "," 940,504.00 ",APSS
157,Bags SIGS,LIVEHOOD-154,20-06-17," 197,268.00 "," 2,268,500.00 ",SIGS
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
