sl,Training Detail,InvoiceNo,Batch Date,GOB,RPA,Catagory
145,Farmers Training Programe specially for agricultural promotion (83-84),LIVELIHOOD-145,2/13/2018,22199,198960,APSS
146,Boro Ferilizer-12,LIVELIHOOD-146,2/14/2018,16265,199725,APSS
147,Farmers Training Programe specially for agricultural promotion (85-86),LIVELIHOOD-147,2/15/2018,22199,198960,APSS
148,WMG member training for strenthening of WMG (Batch 19-20),LIVELIHOOD-148,2/15/2018,21743,196840,LT
149,Farmers Training Programe specially for agricultural promotion (87-88) (CPT),LIVELIHOOD-149,2/18/2018,22199,198960,APSS
150,Farmers Training Programe specially for agricultural promotion (89-90) (CPT),LIVELIHOOD-150,2/19/2018,22199,198960,APSS
151,WMG member training for strenthening of WMG (Batch 21-22),LIVELIHOOD-151,2/19/2018,22170,195920,LT
152,Black Goat (Batch-15),LIVELIHOOD-152,2/20/2018,19200,200000,SIGS
153,"Farmer Field School(FFS) establishment,-24",LIVELIHOOD-153,2/26/2018,14642,199500,APSS
154,"Farmer Field School(FFS) establishment,-25",LIVELIHOOD-154,2/26/2018,14642,199500,APSS
155,Goat rearing (Batch-16),LIVELIHOOD-155,2/27/2018,19200,200000,SIGS
156,Farmers Training Programe specially for agricultural promotion (91-92) (CPT),LIVELIHOOD-156,2/27/2018,22199,198960,APSS
157,"Farmer Field School(FFS) establishment,-26",LIVELIHOOD-157,2/28/2018,13906,199949,APSS
158,"Farmer Field School(FFS) establishment,-27",LIVELIHOOD-158,2/28/2018,15524,199849,APSS
159,Goat rearing (Batch-17),LIVELIHOOD-159,2/28/2018,19200,200000,SIGS
160,Farmers Training Programe specially for agricultural promotion (93-94) (CPT),LIVELIHOOD-160,3/1/2018,22199,198960,APSS
161,WMG member training for strenthening of WMG (Batch 23-24),LIVELIHOOD-161,3/1/2018,21957,196380,LT
162,"Livestock Batch-04, 05 (Paramedical & Vatinary)",LIVELIHOOD-162,3/1/2018,22035,197360,APSS
163,Goat Rearing (Batch-18),LIVELIHOOD-163,3/4/2018,19200,200000,SIGS
164,"Farmer Field School(FFS) establishment,-28",LIVELIHOOD-164,3/4/2018,16740,200000,APSS
165,Goat Rearing (Batch-19),LIVELIHOOD-165,3/5/2018,19200,200000,SIGS
166,Goat Rearing (Batch-20),LIVELIHOOD-166,3/6/2018,19200,200000,SIGS
167,Farmers Training Programe specially for agricultural promotion (95-96) (CPT),LIVELIHOOD-167,3/8/2018,22394,199960,APSS
168,Farmers Training Programe specially for agricultural promotion (97-98) (CPT),LIVELIHOOD-168,3/8/2018,22394,199960,APSS
169,Goat rearing (Batch-21),LIVELIHOOD-169,3/11/2018,19200,200000,SIGS
170,WMG member training for strenthening of WMG (Batch-25) and Livestock-06,LIVELIHOOD-170,3/11/2018,21859,197100,LT
171,Goat rearing (Batch-22),LIVELIHOOD-171,3/12/2018,19200,200000,SIGS
172,Farmers Training Programe specially for agricultural promotion (99-100) (CPT),LIVELIHOOD-172,3/13/2018,22297,199460,APSS
173,Goat rearing (Batch-23),LIVELIHOOD-173,3/14/2018,19200,200000,SIGS
172,Farmers Training Programe specially for agricultural promotion (101-102) (CPT),LIVELIHOOD-172,3/15/2018,22297,199459,APSS
173,WMG member training for strenthening of WMG (Batch-26-27) ,LIVELIHOOD-173,3/15/2018,22477,198475,LT
174,ICS (Improved Cooking Stoves)(Batch-1),LIVELIHOOD-174,3/18/2018,18682,196650,SIGS
175,Training on Poultry and livestock rearing (Batch 7-8),LIVELIHOOD-175,3/18/2018,22035,197360,APSS
176,Small Scale Vegetable (Batch-1)/ Fertilizer,LIVELIHOOD-176,3/19/2018,19275,199740,SIGS
177,Farmers Training Programe specially for agricultural promotion (103-104) (CPT),LIVELIHOOD-177,3/20/2018,22394,199960,APSS
178,Goat rearing (Batch-24),LIVELIHOOD-178,3/21/2018,19200,200000,SIGS
179,Farmers Training Programe specially for agricultural promotion (105-106) (CPT),LIVELIHOOD-179,3/22/2018,22394,199960,APSS
180,Training on Poultry and livestock rearing (Batch 9-10),LIVELIHOOD-180,3/22/2018,22035,197360,APSS
181,WMG member training for strenthening of WMG (Batch-28-29) ,LIVELIHOOD-181,3/25/2018,22477,198476,LT
182,Farmers Training Programe specially for agricultural promotion (107-108) (CPT),LIVELIHOOD-182,3/28/2018,22199,198960,APSS
183,Hijol Shapling(01),LIVELIHOOD-183,3/28/2018,15000,199995,APSS
184,"Swing Machine, Training & Support service scheme, Batch-7, Part-A",LIVELIHOOD-184,3/29/2018,24033,198229,SIGS
185,Paramedical Vetinary-01 (Vegitable Cultivation-03),LIVELIHOOD-185,3/29/2018,22043,197740,APSS
186,WMG member training for strenthening of WMG (Batch-30-31) ,LIVELIHOOD-186,4/1/2018,22477,197776,LT
187,Farmers Training Programe specially for agricultural promotion (109-110) (CPT),LIVELIHOOD-187,4/1/2018,22199,198960,APSS
188,BARD (Local Training),LIVELIHOOD-188,4/1/2018,16363,139999,APSS
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Hijol Shapling(02),LIVELIHOOD-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,4/2/2018,21083,199966,APSS
190,Goat Rearing (Bill-25),LIVELIHOOD-190,4/3/2018,19200,200000,SIGS
191,"Farmer Field School(FFS) establishment,-29",LIVELIHOOD-191,4/4/2018,15896,199849,APSS
192,"Farmer Field School(FFS) establishment,-30",LIVELIHOOD-192,4/4/2018,14242,199749,APSS
193,Farmers Training Programe specially for agricultural promotion (111-112) (CPT),LIVELIHOOD-193,4/4/2018,22199,198960,APSS
194,TOT (Training for Trainers) for- IFM(Integrated Firm Management) for FFS(Farmer Field School-02/(Batch 3 & 4)Bill-1,LIVELIHOOD-194,4/5/2018,35920,199549,APSS
195,WMG member training for strenthening of WMG (Batch-32-33) ,LIVELIHOOD-195,4/5/2018,21743,196140,LT
196,Hijol Shapling(03),LIVELIHOOD-196,4/5/2018,14997,199966,APSS
197,Farmers Training Programe specially for agricultural promotion (113-114) (CPT),LIVELIHOOD-197,4/5/2018,22199,198960,APSS
198,ICS (Improved Cooking Stoves)(Bill-2),LIVELIHOOD-198,4/8/2018,18682,196650,SIGS
199,Hijol Shapling(0),LIVELIHOOD-199,4/8/2018,14997,199966,APSS
200,"Farmer Field School(FFS) establishment,-31",LIVELIHOOD-200,4/9/2018,17914,199500,APSS
201,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4) Bill-2,LIVELIHOOD-201,4/9/2018,32742,197000,APSS
202,Farmers Training Programe specially for agricultural promotion (115-116) (CPT),LIVELIHOOD-202,4/10/2018,22989,199970,APSS
203,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4-32 (Bill-3),LIVELIHOOD-203,4/11/2018,14861,199780,APSS
204,Goat Rearing (Bill-26),LIVELIHOOD-204,4/11/2018,19200,200000,SIGS
205,Farmers Training Programe specially for agricultural promotion (117-118) (CPT),LIVELIHOOD-205,4/12/2018,22195,198940,APSS
206,Home-Stead vegetable (Batch-5 & 6)(Bill-4),LIVELIHOOD-206,4/12/2018,22893,197140,APSS
207,Hijol Shapling(05),LIVELIHOOD-207,4/12/2018,15000,199997,APSS
208,WMG member training for strenthening of WMG (Batch-34) ,LIVELIHOOD-208,4/15/2018,22403,198269,LT
209,"Swing Machine, Training & Support service scheme, ",LIVELIHOOD-209,4/15/2018,17991,195940,SIGS
210,"Swing Machine, Training & Support service scheme, ",LIVELIHOOD-210,4/15/2018,11208,185210,SIGS
211,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4) Bill-4,LIVELIHOOD-211,4/16/2018,20015,199619,APSS
212,Farmers Training Programe specially for agricultural promotion (119-120) (CPT),LIVELIHOOD-212,4/17/2018,22195,198940,APSS
213,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4) Bill-5,LIVELIHOOD-213,4/17/2018,19742,199760,APSS
214,WMG member training for strenthening of WMG (Batch-35 & 36) ,LIVELIHOOD-214,4/18/2018,22457,199375,LT
215,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4) Bill-6,LIVELIHOOD-215,4/19/2018,23373,199270,APSS
216,"Home-Stead vegetable(Batch-7,8)(Bill-5)",LIVELIHOOD-216,4/19/2018,21995,197140,APSS
217,Farmers Training Programe specially for agricultural promotion (121-122) (CPT),LIVELIHOOD-217,4/19/2018,22195,198940,APSS
218,Hijol Shapling(0),LIVELIHOOD-218,4/22/2018,14999,199983,APSS
219,WMG member training for strenthening of WMG (Batch-37 & 38) ,LIVELIHOOD-219,4/22/2018,22457,198675,LT
220,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4) Bill-7,LIVELIHOOD-220,4/23/2018,18647,199800,APSS
221,Farmer Field School(FFS) establishment(Bill-32),LIVELIHOOD-221,4/23/2018,14073,199850,APSS
222,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4) Bill-8,LIVELIHOOD-222,4/24/2018,24248,199799,APSS
223,Hijol Shapling(Bill-7),LIVELIHOOD-223,4/24/2018,12275,200000,APSS
224,Farmers Training Programe specially for agricultural promotion (123-124) (CPT),LIVELIHOOD-224,4/24/2018,22195,198240,APSS
225,Goat Rearing (Bill-27),LIVELIHOOD-225,4/25/2018,19200,200000,SIGS
226,ToT (Training of Trainers) for  -IFM(Integrated Farm Management) for FFS( Farmer Field School).(Batch 3 & 4) Bill-9,LIVELIHOOD-226,4/26/2018,23355,199169,APSS
227,"Homestate Vegetable Cultivision 
Batch-9&10 (Bill-6)",LIVELIHOOD-227,4/26/2018,22190,198140,SIGS
228,Training on Poultry and livestock rearing (Batch 13-14),LIVELIHOOD-228,4/26/2018,22035,197360,APSS
229,Training on Poultry and livestock rearing (Batch 11-12),LIVELIHOOD-229,4/26/2018,22035,197360,APSS
230,Goat Rearing (Bill-28),LIVELIHOOD-230,4/30/2018,19200,200000,SIGS
